row_index,WTUR.TmHvElt.actTmVal
1200,49639.5
1201,49639.5
1202,49639.5
1203,49639.5
1204,49639.51
1205,49639.51
1206,49639.51
1207,49639.51
1208,49639.51
1209,49639.52
1210,49639.52
1211,49639.52
1212,49639.52
1213,49639.52
1214,49639.53
1215,49639.53
1216,49639.53
1217,49639.53
1218,49639.53
1219,49639.54
1220,49639.54
1221,49639.54
1222,49639.54
1223,49639.54
1224,49639.55
1225,49639.55
1226,49639.55
1227,49639.55
1228,49639.55
1229,49639.56
1230,49639.56
1231,49639.56
1232,49639.56
1233,49639.56
1234,49639.57
1235,49639.57
1236,49639.57
1237,49639.57
1238,49639.57
1239,49639.58
1240,49639.58
1241,49639.58
1242,49639.58
1243,49639.58
1244,49639.59
1245,49639.59
1246,49639.59
1247,49639.59
1248,49639.59
1249,49639.6
1250,49639.6
1251,49639.6
1252,49639.6
1253,49639.6
1254,49639.61
1255,49639.61
1256,49639.61
1257,49639.61
1258,49639.61
1259,49639.62
1260,49639.62
1261,49639.62
1262,49639.62
1263,49639.62
1264,49639.63
1265,49639.63
1266,49639.63
1267,49639.63
1268,49639.63
1269,49639.64
1270,49639.64
1271,49639.64
1272,49639.64
1273,49639.64
1274,49639.65
1275,49639.65
1276,49639.65
1277,49639.65
1278,49639.65
1279,49639.66
1280,49639.66
1281,49639.66
1282,49639.66
1283,49639.66
1284,49639.67
1285,49639.67
1286,49639.67
1287,49639.67
1288,49639.67
1289,49639.68
1290,49639.68
1291,49639.68
1292,49639.68
1293,49639.68
1294,49639.69
1295,49639.69
1296,49639.69
1297,49639.69
1298,49639.69
1299,49639.7
1300,49639.7
1301,49639.7
1302,49639.7
1303,49639.7
1304,49639.71
1305,49639.71
1306,49639.71
1307,49639.71
1308,49639.71
1309,49639.72
1310,49639.72
1311,49639.72
1312,49639.72
1313,49639.72
1314,49639.73
1315,49639.73
1316,49639.73
1317,49639.73
1318,49639.73
1319,49639.74
1320,49639.74
1321,49639.74
1322,49639.74
1323,49639.74
1324,49639.75
1325,49639.75
1326,49639.75
1327,49639.75
1328,49639.75
1329,49639.76
1330,49639.76
1331,49639.76
1332,49639.76
1333,49639.76
1334,49639.77
1335,49639.77
1336,49639.77
1337,49639.77
1338,49639.77
1339,49639.78
1340,49639.78
1341,49639.78
1342,49639.78
1343,49639.78
1344,49639.78
1345,49639.79
1346,49639.79
1347,49639.79
1348,49639.79
1349,49639.79
1350,49639.8
1351,49639.8
1352,49639.8
1353,49639.8
1354,49639.8
1355,49639.81
1356,49639.81
1357,49639.81
1358,49639.81
1359,49639.81
1360,49639.82
1361,49639.82
1362,49639.82
1363,49639.82
1364,49639.82
1365,49639.83
1366,49639.83
1367,49639.83
1368,49639.83
1369,49639.83
1370,49639.84
1371,49639.84
1372,49639.84
1373,49639.84
1374,49639.84
1375,49639.85
1376,49639.85
1377,49639.85
1378,49639.85
1379,49639.85
1380,49639.86
1381,49639.86
1382,49639.86
1383,49639.86
1384,49639.86
1385,49639.87
1386,49639.87
1387,49639.87
1388,49639.87
1389,49639.87
1390,49639.88
1391,49639.88
