row_index,WROT.PtTurnOnTmp.Bl3
1440,4.4
1441,4.4
1442,4.4
1443,4.5
1444,4.4
1445,4.4
1446,4.4
1447,4.4
1448,4.4
1449,4.4
1450,4.4
1451,4.5
1452,4.5
1453,4.4
1454,4.4
1455,4.4
1456,4.4
1457,4.5
1458,4.5
1459,4.4
1460,4.4
1461,4.5
1462,4.4
1463,4.5
1464,4.5
1465,4.4
1466,4.4
1467,4.5
1468,4.5
1469,4.5
1470,4.5
1471,4.5
1472,4.4
1473,4.5
1474,4.4
1475,4.5
1476,4.5
1477,4.5
1478,4.5
1479,4.5
1480,4.5
1481,4.4
1482,4.4
1483,4.4
1484,4.4
1485,4.4
1486,4.4
1487,4.4
1488,4.4
1489,4.4
1490,4.5
1491,4.4
1492,4.4
1493,4.4
1494,4.4
1495,4.4
1496,4.4
1497,4.4
1498,4.4
1499,4.4
1500,4.4
1501,4.4
1502,4.4
1503,4.4
1504,4.4
1505,4.4
1506,4.4
1507,4.5
1508,4.4
1509,4.4
1510,4.4
1511,4.5
1512,4.4
1513,4.4
1514,4.4
1515,4.5
1516,4.4
1517,4.4
1518,4.4
1519,4.4
1520,4.4
1521,4.4
1522,4.5
1523,4.4
1524,4.4
1525,4.4
1526,4.4
1527,4.4
1528,4.4
1529,4.4
1530,4.4
1531,4.4
1532,4.4
1533,4.4
1534,4.4
1535,4.4
1536,4.4
1537,4.4
1538,4.4
1539,4.4
1540,4.4
1541,4.4
1542,4.4
1543,4.4
1544,4.4
1545,4.4
1546,4.4
1547,4.4
1548,4.4
1549,4.4
1550,4.4
1551,4.4
1552,4.4
1553,4.4
1554,4.4
1555,4.5
1556,4.5
1557,4.4
1558,4.5
1559,4.5
1560,4.4
1561,4.4
1562,4.4
1563,4.4
1564,4.5
1565,4.4
1566,4.4
1567,4.4
1568,4.4
1569,4.4
1570,4.4
1571,4.4
1572,4.4
1573,4.4
1574,4.4
1575,4.4
1576,4.4
1577,4.4
1578,4.4
1579,4.4
1580,4.4
1581,4.4
1582,4.4
1583,4.4
1584,4.4
1585,4.4
1586,4.4
1587,4.4
1588,4.4
1589,4.4
1590,4.4
1591,4.4
1592,4.4
1593,4.4
1594,4.4
1595,4.4
1596,4.4
1597,4.4
1598,4.4
1599,4.4
1600,4.4
1601,4.4
1602,4.4
1603,4.4
1604,4.4
1605,4.4
1606,4.4
1607,4.4
1608,4.4
1609,4.4
1610,4.4
1611,4.4
1612,4.4
1613,4.4
1614,4.4
1615,4.4
1616,4.4
1617,4.4
1618,4.4
1619,4.4
1620,4.4
1621,4.4
1622,4.4
1623,4.4
1624,4.4
1625,4.4
1626,4.4
1627,4.4
1628,4.4
1629,4.4
1630,4.4
1631,4.4
1632,4.4
1633,4.4
1634,4.4
1635,4.4
1636,4.4
1637,4.4
1638,4.4
1639,4.4
1640,4.4
1641,4.4
1642,4.4
1643,4.4
1644,4.4
1645,4.4
1646,4.4
1647,4.4
1648,4.3
1649,4.3
1650,4.3
1651,4.3
1652,4.3
1653,4.3
1654,4.3
1655,4.3
1656,4.3
1657,4.3
1658,4.3
1659,4.3
1660,4.3
1661,4.3
1662,4.3
1663,4.3
1664,4.3
1665,4.3
1666,4.3
1667,4.3
1668,4.3
1669,4.3
1670,4.3
1671,4.3
1672,4.3
1673,4.3
1674,4.3
1675,4.3
1676,4.3
1677,4.3
1678,4.3
1679,4.3
1680,4.3
1681,4.3
1682,4.3
1683,4.3
1684,4.3
1685,4.3
1686,4.3
1687,4.3
1688,4.3
1689,4.3
1690,4.3
1691,4.3
1692,4.3
1693,4.3
1694,4.3
1695,4.3
1696,4.3
1697,4.3
1698,4.3
1699,4.3
1700,4.3
1701,4.3
1702,4.3
1703,4.3
1704,4.3
1705,4.3
1706,4.3
1707,4.3
1708,4.3
1709,4.3
1710,4.3
1711,4.3
1712,4.3
1713,4.3
1714,4.3
1715,4.3
1716,4.3
1717,4.3
1718,4.3
1719,4.3
1720,4.3
1721,4.3
1722,4.3
1723,4.3
1724,4.3
1725,4.3
1726,4.3
1727,4.3
1728,4.3
1729,4.3
1730,4.3
1731,4.3
1732,4.3
1733,4.3
1734,4.3
1735,4.3
1736,4.3
1737,4.3
1738,4.3
1739,4.3
1740,4.3
1741,4.3
1742,4.3
1743,4.3
1744,4.3
1745,4.3
1746,4.3
1747,4.3
1748,4.3
1749,4.3
1750,4.3
1751,4.3
1752,4.3
1753,4.3
1754,4.3
1755,4.3
1756,4.3
1757,4.3
1758,4.3
1759,4.3
1760,4.3
1761,4.3
1762,4.3
1763,4.3
1764,4.3
1765,4.3
1766,4.3
1767,4.3
1768,4.3
1769,4.3
1770,4.3
1771,4.3
1772,4.3
1773,4.3
1774,4.3
1775,4.3
1776,4.3
1777,4.3
1778,4.3
1779,4.3
1780,4.3
1781,4.3
1782,4.3
1783,4.3
1784,4.3
1785,4.3
1786,4.3
1787,4.3
1788,4.3
1789,4.3
1790,4.3
1791,4.3
1792,4.3
1793,4.3
1794,4.3
1795,4.3
1796,4.3
1797,4.3
1798,4.3
1799,4.3
1800,4.3
1801,4.3
1802,4.3
1803,4.3
1804,4.3
1805,4.3
1806,4.3
1807,4.3
1808,4.3
1809,4.3
1810,4.3
1811,4.3
1812,4.3
1813,4.3
1814,4.3
1815,4.3
1816,4.3
1817,4.3
1818,4.3
1819,4.3
1820,4.3
1821,4.3
1822,4.3
1823,4.3
1824,4.3
1825,4.3
1826,4.3
1827,4.3
1828,4.3
1829,4.3
1830,4.3
1831,4.3
1832,4.3
1833,4.3
1834,4.3
1835,4.3
1836,4.3
1837,4.3
1838,4.3
1839,4.3
1840,4.3
1841,4.3
1842,4.3
1843,4.3
1844,4.3
1845,4.3
1846,4.3
1847,4.3
1848,4.19
1849,4.3
1850,4.3
1851,4.19
1852,4.3
1853,4.3
1854,4.19
1855,4.3
1856,4.19
