row_index,WTUR.converterMainBreakerCount
891,976501400.0000001
892,976501400.0000001
893,976501400.0000001
894,976501400.0000001
895,976501400.0000001
896,976501400.0000001
897,976501400.0000001
898,976501400.0000001
899,976501400.0000001
900,976501400.0000001
901,976501400.0000001
902,976501400.0000001
903,976501400.0000001
904,976501400.0000001
905,976501400.0000001
906,976501400.0000001
907,976501400.0000001
908,976501400.0000001
909,976501400.0000001
910,976501400.0000001
911,976501400.0000001
912,976501400.0000001
913,976501400.0000001
914,976501400.0000001
915,976501400.0000001
916,976501400.0000001
917,976501400.0000001
918,976501400.0000001
919,976501400.0000001
920,976501400.0000001
921,976501400.0000001
922,976501400.0000001
923,976501400.0000001
924,976501400.0000001
925,976501400.0000001
926,976501400.0000001
927,976501400.0000001
928,976501400.0000001
929,976501400.0000001
930,976501400.0000001
931,976501400.0000001
932,976501400.0000001
933,976501400.0000001
934,976501400.0000001
935,976501400.0000001
936,976501400.0000001
937,976501400.0000001
938,976501400.0000001
939,976501400.0000001
940,976501400.0000001
941,976501400.0000001
942,976501400.0000001
943,976501400.0000001
944,976501400.0000001
945,976501400.0000001
946,976501400.0000001
947,976501400.0000001
948,976501400.0000001
949,976501400.0000001
950,976501400.0000001
951,976501400.0000001
952,976501400.0000001
953,976501400.0000001
954,976501400.0000001
955,976501400.0000001
956,976501400.0000001
957,976501400.0000001
958,976501400.0000001
959,976501400.0000001
960,976501400.0000001
961,976501400.0000001
962,976501400.0000001
963,976501400.0000001
964,976501400.0000001
965,976501400.0000001
966,976501400.0000001
967,976501400.0000001
968,976501400.0000001
969,976501400.0000001
970,976501400.0000001
971,976501400.0000001
972,976501400.0000001
973,976501400.0000001
974,976501400.0000001
975,976501400.0000001
976,976501400.0000001
977,976501400.0000001
978,976501400.0000001
979,976501400.0000001
980,976501400.0000001
981,976501400.0000001
982,976501400.0000001
983,976501400.0000001
984,976501400.0000001
985,976501400.0000001
986,976501400.0000001
987,976501400.0000001
988,976501400.0000001
989,976501400.0000001
990,976501400.0000001
991,976501400.0000001
992,976501400.0000001
993,976501400.0000001
994,976501400.0000001
995,976501400.0000001
996,976501400.0000001
997,976501400.0000001
998,976501400.0000001
999,976501400.0000001
1000,976501400.0000001
1001,976501400.0000001
1002,976501400.0000001
1003,976501400.0000001
1004,976501400.0000001
1005,976501400.0000001
1006,976501400.0000001
1007,976501400.0000001
1008,976501400.0000001
1009,976501400.0000001
1010,976501400.0000001
1011,976501400.0000001
1012,976501400.0000001
1013,976501400.0000001
1014,976501400.0000001
1015,976501400.0000001
1016,976501400.0000001
1017,976501400.0000001
1018,976501400.0000001
1019,976501400.0000001
1020,976501400.0000001
1021,976501400.0000001
1022,976501400.0000001
1023,976501400.0000001
1024,976501400.0000001
1025,976501400.0000001
1026,976501400.0000001
1027,976501400.0000001
1028,976501400.0000001
1029,976501400.0000001
1030,976501400.0000001
1031,976501400.0000001
1032,976501400.0000001
1033,976501400.0000001
1034,976501400.0000001
1035,976501400.0000001
1036,976501400.0000001
1037,976501400.0000001
1038,976501400.0000001
1039,976501400.0000001
1040,976501400.0000001
1041,976501400.0000001
1042,976501400.0000001
1043,976501400.0000001
1044,976501400.0000001
1045,976501400.0000001
1046,976501400.0000001
1047,976501400.0000001
1048,976501400.0000001
1049,976501400.0000001
1050,976501400.0000001
1051,976501400.0000001
1052,976501400.0000001
1053,976501400.0000001
1054,976501400.0000001
1055,976501400.0000001
1056,976501400.0000001
1057,976501400.0000001
1058,976501400.0000001
1059,976501400.0000001
1060,976501400.0000001
1061,976501400.0000001
1062,976501400.0000001
1063,976501400.0000001
1064,976501400.0000001
1065,976501400.0000001
1066,976501400.0000001
1067,976501400.0000001
1068,976501400.0000001
1069,976501400.0000001
1070,976501400.0000001
1071,976501400.0000001
1072,976501400.0000001
1073,976501400.0000001
1074,976501400.0000001
1075,976501400.0000001
1076,976501400.0000001
1077,976501400.0000001
1078,976501400.0000001
1079,976501400.0000001
1080,976501400.0000001
1081,976501400.0000001
1082,976501400.0000001
1083,976501400.0000001
1084,976501400.0000001
1085,976501400.0000001
1086,976501400.0000001
1087,976501400.0000001
1088,976501400.0000001
1089,976501400.0000001
1090,976501400.0000001
1091,976501400.0000001
1092,976501400.0000001
1093,976501400.0000001
1094,976501400.0000001
1095,976501400.0000001
1096,976501400.0000001
1097,976501400.0000001
1098,976501400.0000001
1099,976501400.0000001
1100,976501400.0000001
1101,976501400.0000001
1102,976501400.0000001
1103,976501400.0000001
1104,976501400.0000001
1105,976501400.0000001
1106,976501400.0000001
1107,976501400.0000001
1108,976501400.0000001
1109,976501400.0000001
1110,976501400.0000001
1111,976501400.0000001
1112,976501400.0000001
1113,976501400.0000001
1114,976501400.0000001
1115,976501400.0000001
1116,976501400.0000001
1117,976501400.0000001
1118,976501400.0000001
1119,976501400.0000001
1120,976501400.0000001
1121,976501400.0000001
1122,976501400.0000001
1123,976501400.0000001
1124,976501400.0000001
1125,976501400.0000001
1126,976501400.0000001
1127,976501400.0000001
1128,976501400.0000001
1129,976501400.0000001
1130,976501400.0000001
1131,976501400.0000001
1132,976501400.0000001
1133,976501400.0000001
1134,976501400.0000001
1135,976501400.0000001
1136,976501400.0000001
1137,976501400.0000001
1138,976501400.0000001
1139,976501400.0000001
1140,976501400.0000001
1141,976501400.0000001
1142,976501400.0000001
1143,976501400.0000001
1144,976501400.0000001
1145,976501400.0000001
1146,976501400.0000001
1147,976501400.0000001
