row_index,WYAW.WkHours.Mt3
3036,1107.46
3037,1107.46
3038,1107.46
3039,1107.46
3040,1107.46
3041,1107.46
3042,1107.46
3043,1107.46
3044,1107.46
3045,1107.46
3046,1107.46
3047,1107.46
3048,1107.46
3049,1107.46
3050,1107.46
3051,1107.46
3052,1107.46
3053,1107.46
3054,1107.46
3055,1107.46
3056,1107.46
3057,1107.46
3058,1107.46
3059,1107.46
3060,1107.46
3061,1107.46
3062,1107.46
3063,1107.46
3064,1107.46
3065,1107.46
3066,1107.46
3067,1107.46
3068,1107.46
3069,1107.46
3070,1107.46
3071,1107.46
3072,1107.46
3073,1107.46
3074,1107.46
3075,1107.46
3076,1107.46
3077,1107.46
3078,1107.46
3079,1107.46
3080,1107.46
3081,1107.46
3082,1107.46
3083,1107.46
3084,1107.46
3085,1107.46
3086,1107.46
3087,1107.46
3088,1107.46
3089,1107.46
3090,1107.46
3091,1107.46
3092,1107.46
3093,1107.46
3094,1107.46
3095,1107.46
3096,1107.46
3097,1107.46
3098,1107.46
3099,1107.46
3100,1107.46
3101,1107.46
3102,1107.46
3103,1107.46
3104,1107.46
3105,1107.46
3106,1107.46
3107,1107.46
3108,1107.46
3109,1107.46
3110,1107.46
3111,1107.46
3112,1107.46
3113,1107.46
3114,1107.46
3115,1107.46
3116,1107.46
3117,1107.46
3118,1107.46
3119,1107.46
3120,1107.46
3121,1107.46
3122,1107.46
3123,1107.46
3124,1107.46
3125,1107.46
3126,1107.46
3127,1107.46
3128,1107.46
3129,1107.46
3130,1107.46
3131,1107.46
3132,1107.46
3133,1107.46
3134,1107.46
3135,1107.46
3136,1107.46
3137,1107.46
3138,1107.46
3139,1107.46
3140,1107.46
3141,1107.46
3142,1107.46
3143,1107.46
3144,1107.46
3145,1107.46
3146,1107.46
3147,1107.46
3148,1107.46
3149,1107.46
3150,1107.46
3151,1107.46
3152,1107.46
3153,1107.46
3154,1107.46
3155,1107.46
3156,1107.46
3157,1107.46
3158,1107.46
3159,1107.46
3160,1107.46
3161,1107.46
3162,1107.46
3163,1107.46
3164,1107.46
3165,1107.46
3166,1107.46
3167,1107.46
3168,1107.46
3169,1107.46
3170,1107.46
3171,1107.46
3172,1107.46
3173,1107.46
3174,1107.46
3175,1107.46
3176,1107.46
3177,1107.46
3178,1107.46
3179,1107.46
3180,1107.46
3181,1107.46
3182,1107.46
3183,1107.46
3184,1107.46
3185,1107.46
3186,1107.46
3187,1107.46
3188,1107.46
3189,1107.46
3190,1107.46
3191,1107.46
3192,1107.46
3193,1107.46
3194,1107.46
3195,1107.46
3196,1107.46
3197,1107.46
3198,1107.46
3199,1107.46
3200,1107.46
3201,1107.46
3202,1107.46
3203,1107.46
3204,1107.46
3205,1107.46
3206,1107.46
3207,1107.46
3208,1107.46
3209,1107.46
3210,1107.46
3211,1107.46
3212,1107.46
3213,1107.46
3214,1107.46
3215,1107.46
3216,1107.46
3217,1107.46
3218,1107.46
3219,1107.46
3220,1107.46
3221,1107.46
3222,1107.46
3223,1107.46
3224,1107.46
3225,1107.46
3226,1107.46
3227,1107.46
3228,1107.46
3229,1107.46
3230,1107.46
3231,1107.46
3232,1107.46
3233,1107.46
3234,1107.46
3235,1107.46
3236,1107.46
3237,1107.46
3238,1107.46
3239,1107.46
3240,1107.46
3241,1107.46
3242,1107.46
3243,1107.46
3244,1107.46
3245,1107.46
3246,1107.46
3247,1107.46
3248,1107.46
3249,1107.46
3250,1107.46
3251,1107.46
3252,1107.46
3253,1107.46
3254,1107.46
3255,1107.46
3256,1107.46
3257,1107.46
3258,1107.46
3259,1107.46
3260,1107.46
3261,1107.46
3262,1107.46
3263,1107.46
3264,1107.46
3265,1107.46
3266,1107.46
3267,1107.46
3268,1107.46
3269,1107.46
3270,1107.46
3271,1107.46
3272,1107.46
3273,1107.46
3274,1107.46
3275,1107.46
3276,1107.46
3277,1107.46
3278,1107.46
3279,1107.46
3280,1107.46
3281,1107.46
3282,1107.46
3283,1107.46
3284,1107.46
3285,1107.46
3286,1107.46
3287,1107.46
3288,1107.46
3289,1107.46
3290,1107.46
3291,1107.46
3292,1107.46
3293,1107.46
3294,1107.46
3295,1107.46
3296,1107.46
3297,1107.46
3298,1107.46
3299,1107.46
3300,1107.46
3301,1107.46
3302,1107.46
3303,1107.46
3304,1107.46
3305,1107.46
3306,1107.46
3307,1107.46
3308,1107.46
3309,1107.46
