row_index,WGEN.TotPwr.InstMag.i
1456,22876025.0
1457,22876025.0
1458,22876026.0
1459,22876027.0
1460,22876027.0
1461,22876028.0
1462,22876028.0
1463,22876029.0
1464,22876029.0
1465,22876030.0
1466,22876031.0
1467,22876031.0
1468,22876032.0
1469,22876032.0
1470,22876033.0
1471,22876033.0
1472,22876034.0
1473,22876034.0
1474,22876035.0
1475,22876036.0
1476,22876036.0
1477,22876037.0
1478,22876037.0
1479,22876038.0
1480,22876038.0
1481,22876039.0
1482,22876039.0
1483,22876040.0
1484,22876040.0
1485,22876041.0
1486,22876041.0
1487,22876042.0
1488,22876042.0
1489,22876043.0
1490,22876044.0
1491,22876044.0
1492,22876045.0
1493,22876045.0
1494,22876046.0
1495,22876046.0
1496,22876047.0
1497,22876047.0
1498,22876048.0
1499,22876048.0
1500,22876049.0
1501,22876049.0
1502,22876050.0
1503,22876051.0
1504,22876051.0
1505,22876052.0
1506,22876052.0
1507,22876053.0
1508,22876053.0
1509,22876054.0
1510,22876055.0
1511,22876055.0
1512,22876055.0
1513,22876056.0
1514,22876056.0
1515,22876057.0
1516,22876058.0
1517,22876058.0
1518,22876059.0
1519,22876059.0
1520,22876060.0
1521,22876061.0
1522,22876061.0
1523,22876062.0
1524,22876062.0
1525,22876063.0
1526,22876063.0
1527,22876064.0
1528,22876064.0
1529,22876065.0
1530,22876065.0
1531,22876066.0
1532,22876067.0
1533,22876067.0
1534,22876068.0
1535,22876068.0
1536,22876069.0
1537,22876069.0
1538,22876070.0
1539,22876071.0
1540,22876071.0
1541,22876072.0
1542,22876072.0
1543,22876073.0
1544,22876073.0
1545,22876074.0
1546,22876075.0
1547,22876075.0
1548,22876076.0
1549,22876076.0
1550,22876077.0
1551,22876077.0
1552,22876078.0
1553,22876079.0
1554,22876079.0
1555,22876080.0
1556,22876080.0
1557,22876081.0
1558,22876081.0
1559,22876082.0
1560,22876082.0
1561,22876083.0
1562,22876083.0
1563,22876084.0
1564,22876084.0
1565,22876085.0
1566,22876085.0
1567,22876086.0
1568,22876086.0
1569,22876087.0
1570,22876087.0
1571,22876087.0
1572,22876088.0
1573,22876088.0
1574,22876089.0
1575,22876089.0
1576,22876090.0
1577,22876090.0
1578,22876091.0
1579,22876091.0
1580,22876092.0
1581,22876092.0
1582,22876093.0
1583,22876093.0
1584,22876094.0
1585,22876094.0
1586,22876095.0
1587,22876095.0
1588,22876096.0
1589,22876096.0
1590,22876097.0
1591,22876097.0
1592,22876098.0
1593,22876099.0
1594,22876099.0
1595,22876100.0
1596,22876100.0
1597,22876100.0
1598,22876101.0
1599,22876101.0
1600,22876102.0
1601,22876102.0
1602,22876103.0
1603,22876103.0
1604,22876104.0
1605,22876105.0
1606,22876105.0
1607,22876106.0
1608,22876106.0
1609,22876107.0
1610,22876107.0
1611,22876108.0
1612,22876108.0
