source_file,page_num,flags,accepted,reason,original_score,best_score,original_avg_confidence,chosen_avg_confidence,original_char_count,chosen_char_count,candidate_count,elapsed_s
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",269,版面顺序high,True,quality_improved,97.5148,109.812,0.5119,0.4255,706,2228,2,5.884
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",275,版面顺序high,True,quality_improved,98.9647,110.1066,0.5701,0.6265,531,558,2,5.711
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",281,版面顺序high,False,quality_not_improved_enough,81.7926,89.2591,0.4899,0.4899,402,402,2,5.152
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",283,版面顺序high,True,quality_improved,99.6473,120.3858,0.5346,0.5174,604,3397,2,6.148
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",287,版面顺序high,True,quality_improved,102.5679,143.7636,0.5565,0.7632,651,16372,2,6.204
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",297,版面顺序high,False,quality_not_improved_enough,104.5664,111.1766,0.6026,0.6026,563,563,2,5.889
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",311,版面顺序high,True,quality_improved,93.5181,117.728,0.4735,0.648,540,601,2,6.094
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",358,版面顺序high,True,quality_improved,81.1534,111.9134,0.5324,0.5446,325,1140,2,5.392
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",361,版面顺序high,True,quality_improved,86.4794,106.416,0.4802,0.5764,516,638,2,6.431
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",363,版面顺序high,True,quality_improved,86.1031,94.1523,0.4548,0.5207,447,531,2,5.613
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",367,版面顺序high,False,quality_not_improved_enough,86.6678,89.3502,0.486,0.486,499,499,2,5.715
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",369,版面顺序high,False,quality_not_improved_enough,82.3956,87.1518,0.46,0.46,328,328,2,5.789
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",377,版面顺序high,True,quality_improved,82.4664,109.0303,0.499,0.4129,375,2081,2,5.886
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",379,版面顺序high,False,quality_not_improved_enough,91.0352,88.2055,0.5089,0.5089,588,588,2,6.117
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",381,版面顺序high,False,quality_not_improved_enough,90.3607,90.3607,0.4727,0.4727,668,668,2,5.741
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",383,版面顺序high,False,quality_not_improved_enough,88.9806,95.4052,0.5127,0.5127,435,435,2,5.791
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",391,版面顺序high,True,quality_improved,80.3403,109.4431,0.5055,0.4314,283,5987,2,4.131
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",402,版面顺序high,True,quality_improved,82.0375,101.6104,0.4523,0.5487,397,542,2,6.349
