row_index,WTUR.CTim.Wt.F32.WindLow
717,5154.53
718,5154.53
719,5154.53
720,5154.53
721,5154.53
722,5154.53
723,5154.53
724,5154.53
725,5154.53
726,5154.53
727,5154.53
728,5154.53
729,5154.53
730,5154.53
731,5154.53
732,5154.53
733,5154.53
734,5154.53
735,5154.53
736,5154.53
737,5154.53
738,5154.53
739,5154.53
740,5154.53
741,5154.53
742,5154.53
743,5154.53
744,5154.53
745,5154.53
746,5154.53
747,5154.53
748,5154.53
749,5154.53
750,5154.53
751,5154.53
752,5154.53
753,5154.53
754,5154.53
755,5154.53
756,5154.53
757,5154.53
758,5154.53
759,5154.53
760,5154.53
761,5154.53
762,5154.53
763,5154.53
764,5154.53
765,5154.53
766,5154.53
767,5154.53
768,5154.53
769,5154.53
770,5154.53
771,5154.53
772,5154.53
773,5154.53
774,5154.53
775,5154.53
776,5154.53
777,5154.53
778,5154.53
779,5154.53
780,5154.53
781,5154.53
782,5154.53
783,5154.53
784,5154.53
785,5154.53
786,5154.53
787,5154.53
788,5154.53
789,5154.53
790,5154.53
791,5154.53
792,5154.53
793,5154.53
794,5154.53
795,5154.53
796,5154.53
797,5154.53
798,5154.53
799,5154.53
800,5154.53
801,5154.53
802,5154.53
803,5154.53
804,5154.53
805,5154.53
806,5154.53
807,5154.53
808,5154.53
809,5154.53
810,5154.53
811,5154.53
812,5154.53
813,5154.53
814,5154.53
815,5154.53
816,5154.53
817,5154.53
818,5154.53
819,5154.53
820,5154.53
821,5154.53
822,5154.53
823,5154.53
824,5154.53
825,5154.53
826,5154.53
827,5154.53
828,5154.53
829,5154.53
830,5154.53
831,5154.53
832,5154.53
833,5154.53
834,5154.53
835,5154.53
836,5154.53
837,5154.53
838,5154.53
839,5154.53
840,5154.53
841,5154.53
842,5154.53
843,5154.53
844,5154.53
845,5154.53
846,5154.53
847,5154.53
848,5154.53
849,5154.53
850,5154.53
851,5154.53
852,5154.53
853,5154.53
854,5154.53
855,5154.53
856,5154.53
857,5154.53
858,5154.53
859,5154.53
860,5154.53
861,5154.53
862,5154.53
863,5154.53
864,5154.53
865,5154.53
866,5154.53
867,5154.53
868,5154.53
869,5154.53
870,5154.53
871,5154.53
872,5154.53
873,5154.53
874,5154.53
875,5154.53
876,5154.53
877,5154.53
878,5154.53
879,5154.53
880,5154.53
881,5154.53
882,5154.53
883,5154.53
884,5154.53
885,5154.53
886,5154.53
887,5154.53
888,5154.53
889,5154.53
890,5154.53
891,5154.53
892,5154.53
893,5154.53
894,5154.53
895,5154.53
896,5154.53
897,5154.53
898,5154.53
899,5154.53
900,5154.53
901,5154.53
902,5154.53
903,5154.53
904,5154.53
905,5154.53
906,5154.53
907,5154.53
908,5154.53
909,5154.53
910,5154.53
911,5154.53
912,5154.53
913,5154.53
914,5154.53
915,5154.53
916,5154.53
917,5154.53
918,5154.53
919,5154.53
920,5154.53
921,5154.53
922,5154.53
923,5154.53
924,5154.53
925,5154.53
926,5154.53
927,5154.53
928,5154.53
929,5154.53
930,5154.53
931,5154.53
932,5154.53
933,5154.53
934,5154.53
935,5154.53
936,5154.53
937,5154.53
938,5154.53
939,5154.53
940,5154.53
941,5154.53
942,5154.53
943,5154.53
944,5154.53
945,5154.53
946,5154.53
947,5154.53
948,5154.53
949,5154.53
950,5154.53
951,5154.53
952,5154.53
953,5154.53
954,5154.53
955,5154.53
956,5154.53
957,5154.53
958,5154.53
959,5154.53
960,5154.53
961,5154.53
962,5154.53
963,5154.53
964,5154.53
965,5154.53
966,5154.53
967,5154.53
968,5154.53
969,5154.53
970,5154.53
971,5154.53
972,5154.53
973,5154.53
974,5154.53
975,5154.53
976,5154.53
977,5154.53
978,5154.53
979,5154.53
980,5154.53
981,5154.53
982,5154.53
983,5154.53
984,5154.53
985,5154.53
986,5154.53
987,5154.53
988,5154.53
989,5154.53
990,5154.53
991,5154.53
992,5154.53
993,5154.53
994,5154.53
995,5154.53
996,5154.53
997,5154.53
998,5154.53
999,5154.53
1000,5154.53
1001,5154.53
1002,5154.53
1003,5154.53
1004,5154.53
1005,5154.53
1006,5154.53
1007,5154.53
1008,5154.53
1009,5154.53
1010,5154.53
1011,5154.53
1012,5154.53
1013,5154.53
1014,5154.53
1015,5154.53
1016,5154.53
1017,5154.53
1018,5154.53
1019,5154.53
1020,5154.53
1021,5154.53
1022,5154.53
1023,5154.53
1024,5154.53
1025,5154.53
1026,5154.53
1027,5154.53
1028,5154.53
1029,5154.53
1030,5154.53
1031,5154.53
1032,5154.53
1033,5154.53
1034,5154.53
1035,5154.53
1036,5154.53
1037,5154.53
1038,5154.53
1039,5154.53
1040,5154.53
1041,5154.53
1042,5154.53
1043,5154.53
1044,5154.53
1045,5154.53
1046,5154.53
1047,5154.53
1048,5154.53
1049,5154.53
1050,5154.53
1051,5154.53
1052,5154.53
1053,5154.53
1054,5154.53
1055,5154.53
1056,5154.53
1057,5154.53
1058,5154.53
1059,5154.53
1060,5154.53
1061,5154.53
1062,5154.53
1063,5154.53
1064,5154.53
1065,5154.53
1066,5154.53
1067,5154.53
1068,5154.53
1069,5154.53
1070,5154.53
1071,5154.53
1072,5154.53
1073,5154.53
1074,5154.53
1075,5154.53
1076,5154.53
1077,5154.53
1078,5154.53
1079,5154.53
1080,5154.53
1081,5154.53
1082,5154.53
1083,5154.53
1084,5154.53
1085,5154.53
1086,5154.53
1087,5154.53
1088,5154.53
1089,5154.53
1090,5154.53
1091,5154.53
