row_index,WTUR.environment_notok
584,5359.53
585,5359.53
586,5359.53
587,5359.53
588,5359.53
589,5359.53
590,5359.53
591,5359.53
592,5359.53
593,5359.53
594,5359.53
595,5359.53
596,5359.53
597,5359.53
598,5359.53
599,5359.53
600,5359.53
601,5359.53
602,5359.53
603,5359.53
604,5359.53
605,5359.53
606,5359.53
607,5359.53
608,5359.53
609,5359.53
610,5359.53
611,5359.53
612,5359.53
613,5359.53
614,5359.53
615,5359.53
616,5359.53
617,5359.53
618,5359.53
619,5359.53
620,5359.53
621,5359.53
622,5359.53
623,5359.53
624,5359.53
625,5359.53
626,5359.53
627,5359.53
628,5359.53
629,5359.53
630,5359.53
631,5359.53
632,5359.53
633,5359.53
634,5359.53
635,5359.53
636,5359.53
637,5359.53
638,5359.53
639,5359.53
640,5359.53
641,5359.53
642,5359.53
643,5359.53
644,5359.53
645,5359.53
646,5359.53
647,5359.53
648,5359.53
649,5359.53
650,5359.53
651,5359.53
652,5359.53
653,5359.53
654,5359.53
655,5359.53
656,5359.53
657,5359.53
658,5359.53
659,5359.53
660,5359.53
661,5359.53
662,5359.53
663,5359.53
664,5359.53
665,5359.53
666,5359.53
667,5359.53
668,5359.53
669,5359.53
670,5359.53
671,5359.53
672,5359.53
673,5359.53
674,5359.53
675,5359.53
676,5359.53
677,5359.53
678,5359.53
679,5359.53
680,5359.53
681,5359.53
682,5359.53
683,5359.53
684,5359.53
685,5359.53
686,5359.53
687,5359.53
688,5359.53
689,5359.53
690,5359.53
691,5359.53
692,5359.53
693,5359.53
694,5359.53
695,5359.53
696,5359.53
697,5359.53
698,5359.53
699,5359.53
700,5359.53
701,5359.53
702,5359.53
703,5359.53
704,5359.53
705,5359.53
706,5359.53
707,5359.53
708,5359.53
709,5359.53
710,5359.53
711,5359.53
712,5359.53
713,5359.53
714,5359.53
715,5359.53
716,5359.53
717,5359.53
718,5359.53
719,5359.53
720,5359.53
721,5359.53
722,5359.53
723,5359.53
724,5359.53
725,5359.53
726,5359.53
727,5359.53
728,5359.53
729,5359.53
730,5359.53
731,5359.53
732,5359.53
733,5359.53
734,5359.53
735,5359.53
736,5359.53
737,5359.53
738,5359.53
739,5359.53
740,5359.53
741,5359.53
742,5359.53
743,5359.53
744,5359.53
745,5359.53
746,5359.53
747,5359.53
748,5359.53
749,5359.53
750,5359.53
751,5359.53
752,5359.53
753,5359.53
754,5359.53
755,5359.53
756,5359.53
757,5359.53
758,5359.53
759,5359.53
760,5359.53
761,5359.53
762,5359.53
763,5359.53
764,5359.53
765,5359.53
766,5359.53
767,5359.53
768,5359.53
769,5359.53
770,5359.53
771,5359.53
772,5359.53
773,5359.53
774,5359.53
775,5359.53
776,5359.53
777,5359.53
778,5359.53
779,5359.53
780,5359.53
781,5359.53
782,5359.53
783,5359.53
784,5359.53
785,5359.53
786,5359.53
787,5359.53
788,5359.53
789,5359.53
790,5359.53
791,5359.53
792,5359.53
793,5359.53
794,5359.53
795,5359.53
796,5359.53
797,5359.53
798,5359.53
799,5359.53
800,5359.53
801,5359.53
802,5359.53
803,5359.53
804,5359.53
805,5359.53
806,5359.53
807,5359.53
808,5359.53
809,5359.53
810,5359.53
811,5359.53
812,5359.53
813,5359.53
814,5359.53
815,5359.53
816,5359.53
817,5359.53
818,5359.53
819,5359.53
820,5359.53
821,5359.53
822,5359.53
823,5359.53
824,5359.53
825,5359.53
826,5359.53
827,5359.53
828,5359.53
829,5359.53
830,5359.53
831,5359.53
832,5359.53
833,5359.53
834,5359.53
835,5359.53
836,5359.53
837,5359.53
838,5359.53
839,5359.53
840,5359.53
841,5359.53
842,5359.53
843,5359.53
844,5359.53
845,5359.53
846,5359.53
847,5359.53
848,5359.53
849,5359.53
850,5359.53
851,5359.53
852,5359.53
853,5359.53
854,5359.53
855,5359.53
856,5359.53
857,5359.53
858,5359.53
859,5359.53
860,5359.53
861,5359.53
862,5359.53
