row_index,WNAC.AccY
219,0.0
220,0.0
221,-0.01
222,0.0
223,0.0
224,-0.01
225,0.0
226,0.0
227,-0.01
228,-0.01
229,-0.01
230,-0.01
231,-0.01
232,0.0
233,0.0
234,0.0
235,0.0
236,-0.01
237,-0.01
238,-0.01
239,0.0
240,-0.01
241,0.0
242,0.0
243,-0.01
244,-0.01
245,-0.01
246,-0.01
247,0.0
248,0.0
249,-0.01
250,-0.01
251,-0.01
252,0.0
253,-0.01
254,-0.01
255,-0.01
256,0.0
257,-0.01
258,0.0
259,0.0
260,-0.01
261,-0.01
262,-0.01
263,-0.01
264,-0.01
265,0.0
266,-0.01
267,0.0
268,-0.01
269,-0.01
270,0.0
271,-0.01
272,-0.01
273,-0.01
274,-0.01
275,-0.01
276,0.0
277,0.0
278,-0.01
279,-0.01
280,-0.01
281,0.0
282,-0.01
283,0.0
284,-0.01
285,-0.01
286,-0.01
287,-0.01
288,-0.01
289,-0.01
290,0.0
291,-0.01
292,0.0
293,0.0
294,-0.01
295,-0.01
296,-0.01
297,0.0
298,0.0
299,0.0
300,-0.01
301,-0.01
302,-0.01
303,0.0
304,0.0
305,-0.01
306,0.0
307,-0.01
308,-0.01
309,-0.01
310,-0.01
311,0.0
312,0.0
313,-0.01
314,-0.01
315,-0.01
316,-0.01
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,-0.01
323,-0.01
324,-0.01
325,0.0
326,0.0
327,0.0
328,-0.01
329,-0.01
330,-0.01
331,-0.01
332,0.0
333,-0.01
334,0.0
335,-0.01
336,-0.01
337,0.0
338,0.0
339,0.0
340,-0.01
341,-0.01
342,0.0
343,0.0
344,0.0
345,0.0
346,-0.01
347,-0.01
348,-0.01
349,-0.01
350,0.0
351,0.0
352,-0.01
353,-0.01
354,-0.01
355,-0.01
356,-0.01
357,0.0
358,0.0
359,0.0
360,-0.01
361,-0.01
362,-0.01
363,0.0
364,-0.01
365,-0.01
366,0.0
367,0.0
368,-0.01
369,-0.01
370,0.0
371,0.0
372,-0.01
373,-0.01
374,0.0
375,-0.01
376,-0.01
377,-0.01
378,-0.01
379,0.0
380,-0.01
381,-0.01
382,0.0
383,0.0
384,0.0
385,-0.01
386,-0.01
387,0.0
388,0.0
389,0.0
390,0.0
391,-0.01
392,-0.01
393,-0.01
394,-0.01
395,-0.01
396,0.0
397,0.0
398,-0.01
399,-0.01
400,0.0
401,-0.01
402,-0.01
403,0.0
404,0.0
405,0.0
406,-0.01
407,-0.01
