row_index,WMAN.InitFileVersion
582,sinoma42.2_v20150728
583,sinoma42.2_v20150728
584,sinoma42.2_v20150728
585,sinoma42.2_v20150728
586,sinoma42.2_v20150728
587,sinoma42.2_v20150728
588,sinoma42.2_v20150728
589,sinoma42.2_v20150728
590,sinoma42.2_v20150728
591,sinoma42.2_v20150728
592,sinoma42.2_v20150728
593,sinoma42.2_v20150728
594,sinoma42.2_v20150728
595,sinoma42.2_v20150728
596,sinoma42.2_v20150728
597,sinoma42.2_v20150728
598,sinoma42.2_v20150728
599,sinoma42.2_v20150728
600,sinoma42.2_v20150728
601,sinoma42.2_v20150728
602,sinoma42.2_v20150728
603,sinoma42.2_v20150728
604,sinoma42.2_v20150728
605,sinoma42.2_v20150728
606,sinoma42.2_v20150728
607,sinoma42.2_v20150728
608,sinoma42.2_v20150728
609,sinoma42.2_v20150728
610,sinoma42.2_v20150728
611,sinoma42.2_v20150728
612,sinoma42.2_v20150728
613,sinoma42.2_v20150728
614,sinoma42.2_v20150728
615,sinoma42.2_v20150728
616,sinoma42.2_v20150728
617,sinoma42.2_v20150728
618,sinoma42.2_v20150728
619,sinoma42.2_v20150728
620,sinoma42.2_v20150728
621,sinoma42.2_v20150728
622,sinoma42.2_v20150728
623,sinoma42.2_v20150728
624,sinoma42.2_v20150728
625,sinoma42.2_v20150728
626,sinoma42.2_v20150728
627,sinoma42.2_v20150728
628,sinoma42.2_v20150728
629,sinoma42.2_v20150728
630,sinoma42.2_v20150728
631,sinoma42.2_v20150728
632,sinoma42.2_v20150728
633,sinoma42.2_v20150728
634,sinoma42.2_v20150728
635,sinoma42.2_v20150728
636,sinoma42.2_v20150728
637,sinoma42.2_v20150728
638,sinoma42.2_v20150728
639,sinoma42.2_v20150728
640,sinoma42.2_v20150728
641,sinoma42.2_v20150728
642,sinoma42.2_v20150728
643,sinoma42.2_v20150728
644,sinoma42.2_v20150728
645,sinoma42.2_v20150728
646,sinoma42.2_v20150728
647,sinoma42.2_v20150728
648,sinoma42.2_v20150728
649,sinoma42.2_v20150728
650,sinoma42.2_v20150728
651,sinoma42.2_v20150728
652,sinoma42.2_v20150728
653,sinoma42.2_v20150728
654,sinoma42.2_v20150728
655,sinoma42.2_v20150728
656,sinoma42.2_v20150728
657,sinoma42.2_v20150728
658,sinoma42.2_v20150728
659,sinoma42.2_v20150728
660,sinoma42.2_v20150728
661,sinoma42.2_v20150728
662,sinoma42.2_v20150728
663,sinoma42.2_v20150728
664,sinoma42.2_v20150728
665,sinoma42.2_v20150728
666,sinoma42.2_v20150728
667,sinoma42.2_v20150728
668,sinoma42.2_v20150728
669,sinoma42.2_v20150728
670,sinoma42.2_v20150728
671,sinoma42.2_v20150728
672,sinoma42.2_v20150728
673,sinoma42.2_v20150728
674,sinoma42.2_v20150728
675,sinoma42.2_v20150728
676,sinoma42.2_v20150728
677,sinoma42.2_v20150728
678,sinoma42.2_v20150728
679,sinoma42.2_v20150728
680,sinoma42.2_v20150728
681,sinoma42.2_v20150728
682,sinoma42.2_v20150728
683,sinoma42.2_v20150728
684,sinoma42.2_v20150728
685,sinoma42.2_v20150728
686,sinoma42.2_v20150728
687,sinoma42.2_v20150728
688,sinoma42.2_v20150728
689,sinoma42.2_v20150728
690,sinoma42.2_v20150728
691,sinoma42.2_v20150728
692,sinoma42.2_v20150728
693,sinoma42.2_v20150728
694,sinoma42.2_v20150728
695,sinoma42.2_v20150728
696,sinoma42.2_v20150728
697,sinoma42.2_v20150728
698,sinoma42.2_v20150728
699,sinoma42.2_v20150728
700,sinoma42.2_v20150728
701,sinoma42.2_v20150728
702,sinoma42.2_v20150728
703,sinoma42.2_v20150728
704,sinoma42.2_v20150728
705,sinoma42.2_v20150728
706,sinoma42.2_v20150728
707,sinoma42.2_v20150728
708,sinoma42.2_v20150728
709,sinoma42.2_v20150728
710,sinoma42.2_v20150728
711,sinoma42.2_v20150728
712,sinoma42.2_v20150728
713,sinoma42.2_v20150728
714,sinoma42.2_v20150728
715,sinoma42.2_v20150728
716,sinoma42.2_v20150728
717,sinoma42.2_v20150728
718,sinoma42.2_v20150728
719,sinoma42.2_v20150728
720,sinoma42.2_v20150728
721,sinoma42.2_v20150728
722,sinoma42.2_v20150728
723,sinoma42.2_v20150728
724,sinoma42.2_v20150728
725,sinoma42.2_v20150728
726,sinoma42.2_v20150728
727,sinoma42.2_v20150728
728,sinoma42.2_v20150728
729,sinoma42.2_v20150728
730,sinoma42.2_v20150728
731,sinoma42.2_v20150728
732,sinoma42.2_v20150728
733,sinoma42.2_v20150728
734,sinoma42.2_v20150728
735,sinoma42.2_v20150728
736,sinoma42.2_v20150728
