row_index,WTUR.environment_ok_h
319,44278.21
320,44278.21
321,44278.21
322,44278.22
323,44278.22
324,44278.22
325,44278.22
326,44278.23
327,44278.23
328,44278.23
329,44278.23
330,44278.23
331,44278.23
332,44278.24
333,44278.24
334,44278.24
335,44278.24
336,44278.25
337,44278.25
338,44278.25
339,44278.25
340,44278.25
341,44278.25
342,44278.26
343,44278.26
344,44278.26
345,44278.26
346,44278.26
347,44278.26
348,44278.27
349,44278.27
350,44278.27
351,44278.27
352,44278.28
353,44278.28
354,44278.28
355,44278.28
356,44278.28
357,44278.28
358,44278.29
359,44278.29
360,44278.29
361,44278.29
362,44278.3
363,44278.3
364,44278.3
365,44278.3
366,44278.3
367,44278.3
368,44278.31
369,44278.31
370,44278.31
371,44278.31
372,44278.32
373,44278.32
374,44278.32
375,44278.32
376,44278.32
377,44278.33
378,44278.33
379,44278.33
380,44278.33
381,44278.33
382,44278.33
383,44278.34
384,44278.34
385,44278.34
386,44278.34
387,44278.35
388,44278.35
389,44278.35
390,44278.35
391,44278.35
392,44278.35
393,44278.36
394,44278.36
395,44278.36
396,44278.36
397,44278.37
398,44278.37
399,44278.37
400,44278.37
401,44278.37
402,44278.37
403,44278.38
404,44278.38
405,44278.38
406,44278.38
407,44278.39
408,44278.39
409,44278.39
410,44278.39
411,44278.39
412,44278.4
413,44278.4
414,44278.4
415,44278.4
416,44278.41
417,44278.41
418,44278.41
419,44278.41
420,44278.41
421,44278.41
422,44278.41
423,44278.42
424,44278.42
425,44278.42
426,44278.42
427,44278.42
428,44278.42
429,44278.43
430,44278.43
431,44278.43
432,44278.43
433,44278.44
434,44278.44
435,44278.44
436,44278.44
437,44278.44
438,44278.44
439,44278.45
440,44278.45
441,44278.45
442,44278.45
443,44278.46
444,44278.46
445,44278.46
446,44278.46
447,44278.46
448,44278.47
449,44278.47
450,44278.47
451,44278.47
452,44278.48
453,44278.48
454,44278.48
455,44278.48
456,44278.48
457,44278.48
458,44278.49
459,44278.49
460,44278.49
461,44278.49
462,44278.5
463,44278.5
464,44278.5
465,44278.5
466,44278.5
467,44278.5
468,44278.51
469,44278.51
470,44278.51
471,44278.51
472,44278.51
473,44278.51
474,44278.52
475,44278.52
476,44278.52
477,44278.52
478,44278.53
479,44278.53
480,44278.53
481,44278.53
482,44278.53
483,44278.54
484,44278.54
485,44278.54
486,44278.54
