row_index,WTUR.CTim.Wt.F32.WindValid
1231,27799.79
1232,27799.79
1233,27799.79
1234,27799.8
1235,27799.8
1236,27799.8
1237,27799.8
1238,27799.8
1239,27799.81
1240,27799.81
1241,27799.81
1242,27799.81
1243,27799.81
1244,27799.82
1245,27799.82
1246,27799.82
1247,27799.82
1248,27799.82
1249,27799.83
1250,27799.83
1251,27799.83
1252,27799.83
1253,27799.83
1254,27799.84
1255,27799.84
1256,27799.84
1257,27799.84
1258,27799.84
1259,27799.85
1260,27799.85
1261,27799.85
1262,27799.85
1263,27799.85
1264,27799.86
1265,27799.86
1266,27799.86
1267,27799.86
1268,27799.86
1269,27799.87
1270,27799.87
1271,27799.87
1272,27799.87
1273,27799.87
1274,27799.88
1275,27799.88
1276,27799.88
1277,27799.88
1278,27799.88
1279,27799.89
1280,27799.89
1281,27799.89
1282,27799.89
1283,27799.89
1284,27799.9
1285,27799.9
1286,27799.9
1287,27799.9
1288,27799.9
1289,27799.91
1290,27799.91
1291,27799.91
1292,27799.91
1293,27799.91
1294,27799.92
1295,27799.92
1296,27799.92
1297,27799.92
1298,27799.92
1299,27799.93
1300,27799.93
1301,27799.93
1302,27799.93
1303,27799.93
1304,27799.94
1305,27799.94
1306,27799.94
1307,27799.94
1308,27799.94
1309,27799.95
1310,27799.95
1311,27799.95
1312,27799.95
1313,27799.95
1314,27799.96
1315,27799.96
1316,27799.96
1317,27799.96
1318,27799.96
1319,27799.97
1320,27799.97
1321,27799.97
1322,27799.97
1323,27799.97
1324,27799.98
1325,27799.98
1326,27799.98
1327,27799.98
1328,27799.98
1329,27799.99
1330,27799.99
1331,27799.99
1332,27799.99
1333,27799.99
1334,27800.0
1335,27800.0
1336,27800.0
1337,27800.0
1338,27800.0
1339,27800.01
1340,27800.01
1341,27800.01
1342,27800.01
1343,27800.01
1344,27800.02
1345,27800.02
1346,27800.02
1347,27800.02
1348,27800.02
1349,27800.02
1350,27800.03
1351,27800.03
1352,27800.03
1353,27800.03
1354,27800.03
1355,27800.04
1356,27800.04
1357,27800.04
1358,27800.04
1359,27800.04
1360,27800.05
1361,27800.05
1362,27800.05
1363,27800.05
1364,27800.05
1365,27800.06
1366,27800.06
1367,27800.06
1368,27800.06
1369,27800.06
1370,27800.07
1371,27800.07
1372,27800.07
1373,27800.07
1374,27800.07
1375,27800.08
1376,27800.08
1377,27800.08
1378,27800.08
1379,27800.08
1380,27800.09
1381,27800.09
1382,27800.09
1383,27800.09
1384,27800.09
1385,27800.1
1386,27800.1
1387,27800.1
1388,27800.1
1389,27800.1
1390,27800.11
1391,27800.11
1392,27800.11
1393,27800.11
1394,27800.11
1395,27800.12
1396,27800.12
1397,27800.12
1398,27800.12
1399,27800.12
1400,27800.13
1401,27800.13
1402,27800.13
1403,27800.13
1404,27800.13
1405,27800.14
1406,27800.14
1407,27800.14
1408,27800.14
1409,27800.14
1410,27800.15
1411,27800.15
1412,27800.15
1413,27800.15
1414,27800.15
1415,27800.16
1416,27800.16
1417,27800.16
1418,27800.16
1419,27800.16
1420,27800.17
1421,27800.17
1422,27800.17
1423,27800.17
1424,27800.17
1425,27800.18
1426,27800.18
1427,27800.18
1428,27800.18
1429,27800.18
1430,27800.19
1431,27800.19
1432,27800.19
1433,27800.19
1434,27800.19
1435,27800.2
1436,27800.2
1437,27800.2
1438,27800.2
1439,27800.2
1440,27800.21
1441,27800.21
1442,27800.21
1443,27800.21
1444,27800.21
1445,27800.22
1446,27800.22
1447,27800.22
1448,27800.22
1449,27800.22
1450,27800.23
1451,27800.23
1452,27800.23
1453,27800.23
1454,27800.23
1455,27800.24
1456,27800.24
1457,27800.24
1458,27800.24
1459,27800.24
1460,27800.25
1461,27800.25
1462,27800.25
1463,27800.25
1464,27800.25
1465,27800.26
1466,27800.26
1467,27800.26
1468,27800.26
1469,27800.26
1470,27800.27
1471,27800.27
1472,27800.27
1473,27800.27
1474,27800.27
1475,27800.28
1476,27800.28
1477,27800.28
1478,27800.28
1479,27800.28
1480,27800.29
1481,27800.29
1482,27800.29
1483,27800.29
1484,27800.29
1485,27800.3
1486,27800.3
1487,27800.3
1488,27800.3
1489,27800.3
1490,27800.31
1491,27800.31
1492,27800.31
1493,27800.31
1494,27800.31
1495,27800.32
1496,27800.32
1497,27800.32
1498,27800.32
1499,27800.32
1500,27800.33
1501,27800.33
1502,27800.33
1503,27800.33
1504,27800.33
1505,27800.34
1506,27800.34
1507,27800.34
1508,27800.34
1509,27800.34
1510,27800.35
1511,27800.35
1512,27800.35
1513,27800.35
1514,27800.35
1515,27800.35
1516,27800.36
1517,27800.36
1518,27800.36
1519,27800.36
1520,27800.36
1521,27800.37
1522,27800.37
1523,27800.37
1524,27800.37
1525,27800.37
1526,27800.38
1527,27800.38
1528,27800.38
1529,27800.38
1530,27800.38
1531,27800.39
1532,27800.39
1533,27800.39
1534,27800.39
1535,27800.4
1536,27800.4
1537,27800.4
1538,27800.4
1539,27800.4
1540,27800.41
1541,27800.41
1542,27800.41
1543,27800.41
1544,27800.41
1545,27800.42
1546,27800.42
1547,27800.42
1548,27800.42
1549,27800.42
1550,27800.43
1551,27800.43
1552,27800.43
1553,27800.43
1554,27800.43
1555,27800.44
1556,27800.44
1557,27800.44
