row_index,WMAN.Tm
11529,2018-01-04 22:52:11
11530,2018-01-04 22:52:18
11531,2018-01-04 22:52:25
11532,2018-01-04 22:52:32
11533,2018-01-04 22:52:39
11534,2018-01-04 22:52:47
11535,2018-01-04 22:52:54
11536,2018-01-04 22:53:01
11537,2018-01-04 22:53:08
11538,2018-01-04 22:53:15
11539,2018-01-04 22:53:23
11540,2018-01-04 22:53:30
11541,2018-01-04 22:53:37
11542,2018-01-04 22:53:44
11543,2018-01-04 22:53:52
11544,2018-01-04 22:53:59
11545,2018-01-04 22:54:06
11546,2018-01-04 22:54:13
11547,2018-01-04 22:54:20
11548,2018-01-04 22:54:28
11549,2018-01-04 22:54:35
11550,2018-01-04 22:54:42
11551,2018-01-04 22:54:49
11552,2018-01-04 22:54:56
11553,2018-01-04 22:55:04
11554,2018-01-04 22:55:11
11555,2018-01-04 22:55:18
11556,2018-01-04 22:55:25
11557,2018-01-04 22:55:33
11558,2018-01-04 22:55:40
11559,2018-01-04 22:55:47
11560,2018-01-04 22:55:54
11561,2018-01-04 22:56:01
11562,2018-01-04 22:56:09
11563,2018-01-04 22:56:16
11564,2018-01-04 22:56:23
11565,2018-01-04 22:56:30
11566,2018-01-04 22:56:38
11567,2018-01-04 22:56:45
11568,2018-01-04 22:56:52
11569,2018-01-04 22:56:59
11570,2018-01-04 22:57:06
11571,2018-01-04 22:57:14
11572,2018-01-04 22:57:21
11573,2018-01-04 22:57:28
11574,2018-01-04 22:57:35
11575,2018-01-04 22:57:42
11576,2018-01-04 22:57:50
11577,2018-01-04 22:57:57
11578,2018-01-04 22:58:04
11579,2018-01-04 22:58:11
11580,2018-01-04 22:58:18
11581,2018-01-04 22:58:26
11582,2018-01-04 22:58:33
11583,2018-01-04 22:58:40
11584,2018-01-04 22:58:47
11585,2018-01-04 22:58:54
11586,2018-01-04 22:59:02
11587,2018-01-04 22:59:09
11588,2018-01-04 22:59:16
11589,2018-01-04 22:59:23
11590,2018-01-04 22:59:31
11591,2018-01-04 22:59:38
11592,2018-01-04 22:59:45
11593,2018-01-04 22:59:52
11594,2018-01-04 22:59:56
11595,2018-01-04 23:00:00
11596,2018-01-04 23:00:07
11597,2018-01-04 23:00:15
11598,2018-01-04 23:00:22
11599,2018-01-04 23:00:29
11600,2018-01-04 23:00:37
11601,2018-01-04 23:00:44
11602,2018-01-04 23:00:51
11603,2018-01-04 23:00:58
11604,2018-01-04 23:01:05
11605,2018-01-04 23:01:13
11606,2018-01-04 23:01:20
11607,2018-01-04 23:01:27
11608,2018-01-04 23:01:34
11609,2018-01-04 23:01:41
11610,2018-01-04 23:01:49
11611,2018-01-04 23:01:56
11612,2018-01-04 23:02:03
11613,2018-01-04 23:02:10
11614,2018-01-04 23:02:17
11615,2018-01-04 23:02:25
11616,2018-01-04 23:02:32
11617,2018-01-04 23:02:39
11618,2018-01-04 23:02:46
11619,2018-01-04 23:02:53
11620,2018-01-04 23:03:01
11621,2018-01-04 23:03:08
11622,2018-01-04 23:03:15
11623,2018-01-04 23:03:22
11624,2018-01-04 23:03:29
11625,2018-01-04 23:03:37
11626,2018-01-04 23:03:44
11627,2018-01-04 23:03:51
11628,2018-01-04 23:03:58
11629,2018-01-04 23:04:05
11630,2018-01-04 23:04:13
11631,2018-01-04 23:04:20
11632,2018-01-04 23:04:27
11633,2018-01-04 23:04:34
11634,2018-01-04 23:04:42
11635,2018-01-04 23:04:49
11636,2018-01-04 23:04:56
11637,2018-01-04 23:05:03
11638,2018-01-04 23:05:10
11639,2018-01-04 23:05:18
11640,2018-01-04 23:05:25
11641,2018-01-04 23:05:32
11642,2018-01-04 23:05:39
