row_index,WTUR.TmOK.actTmVal
869,48903.34
870,48903.34
871,48903.34
872,48903.34
873,48903.35
874,48903.35
875,48903.35
876,48903.35
877,48903.35
878,48903.36
879,48903.36
880,48903.36
881,48903.36
882,48903.36
883,48903.37
884,48903.37
885,48903.37
886,48903.37
887,48903.37
888,48903.38
889,48903.38
890,48903.38
891,48903.38
892,48903.38
893,48903.39
894,48903.39
895,48903.39
896,48903.39
897,48903.39
898,48903.4
899,48903.4
900,48903.4
901,48903.4
902,48903.4
903,48903.41
904,48903.41
905,48903.41
906,48903.41
907,48903.41
908,48903.42
909,48903.42
910,48903.42
911,48903.42
912,48903.42
913,48903.43
914,48903.43
915,48903.43
916,48903.43
917,48903.43
918,48903.44
919,48903.44
920,48903.44
921,48903.44
922,48903.44
923,48903.45
924,48903.45
925,48903.45
926,48903.45
927,48903.45
928,48903.45
929,48903.46
930,48903.46
931,48903.46
932,48903.46
933,48903.46
934,48903.47
935,48903.47
936,48903.47
937,48903.47
938,48903.47
939,48903.48
940,48903.48
941,48903.48
942,48903.48
943,48903.48
944,48903.49
945,48903.49
946,48903.49
947,48903.49
948,48903.49
949,48903.5
950,48903.5
951,48903.5
952,48903.5
953,48903.5
954,48903.51
955,48903.51
956,48903.51
957,48903.51
958,48903.51
959,48903.52
960,48903.52
961,48903.52
962,48903.52
963,48903.52
964,48903.53
965,48903.53
966,48903.53
967,48903.53
968,48903.53
969,48903.54
970,48903.54
971,48903.54
972,48903.54
973,48903.54
974,48903.55
975,48903.55
976,48903.55
977,48903.55
978,48903.55
979,48903.56
980,48903.56
981,48903.56
982,48903.56
983,48903.56
984,48903.57
985,48903.57
986,48903.57
987,48903.57
988,48903.57
989,48903.58
990,48903.58
991,48903.58
992,48903.58
993,48903.58
994,48903.59
995,48903.59
996,48903.59
997,48903.59
998,48903.59
999,48903.6
1000,48903.6
1001,48903.6
1002,48903.6
1003,48903.6
1004,48903.61
1005,48903.61
1006,48903.61
1007,48903.61
1008,48903.61
1009,48903.62
1010,48903.62
1011,48903.62
1012,48903.62
